Batch Index,Time
1232,0.011914
1233,0.012056
1234,0.011906
1235,0.011963
1236,0.011897
1237,0.011941
1238,0.011969
1239,0.01197
1240,0.011951
1241,0.011914
1242,0.011943
1243,0.011935
1244,0.011895
1245,0.011962
1246,0.011889
1247,0.011862
1248,0.01202
1249,0.012078
1250,0.011974
1251,0.011997
1252,0.012025
1253,0.016961
1254,0.012035
1255,0.011912
1256,0.011955
1257,0.01364
1258,0.011991
1259,0.013705
1260,0.011997
1261,0.01192
1262,0.011866
1263,0.012023
1264,0.011898
1265,0.011995
1266,0.012
1267,0.011869
1268,0.012058
1269,0.012041
1270,0.011951
1271,0.013378
1272,0.011924
1273,0.011925
1274,0.01351
1275,0.011987
1276,0.01366
1277,0.011932
1278,0.011929
1279,0.011868
1280,0.011892
1281,0.01194
1282,0.011838
1283,0.012002
1284,0.012018
1285,0.01184
1286,0.011864
1287,0.011919
1288,0.011949
1289,0.011892
1290,0.011921
1291,0.011933
1292,0.011822
1293,0.011839
1294,0.011989
1295,0.011916
1296,0.011921
1297,0.011893
1298,0.01194
1299,0.012001
1300,0.011879
1301,0.012036
1302,0.011999
1303,0.011946
1304,0.011945
1305,0.011941
1306,0.011964
1307,0.011909
1308,0.013292
1309,0.011914
1310,0.011896
1311,0.011871
1312,0.011801
1313,0.011988
1314,0.011987
1315,0.011857
1316,0.011986
1317,0.012028
1318,0.011893
1319,0.012185
1320,0.012148
1321,0.0119
1322,0.011898
1323,0.012065
1324,0.01193
1325,0.01202
1326,0.012085
1327,0.011966
1328,0.011882
1329,0.012006
1330,0.011985
1331,0.011903
1332,0.012044
1333,0.012124
1334,0.01191
1335,0.012041
1336,0.012008
1337,0.013987
1338,0.011964
1339,0.011874
1340,0.011963
1341,0.011939
1342,0.011922
1343,0.011987
1344,0.012504
1345,0.020596
1346,0.011982
1347,0.011867
1348,0.011874
1349,0.012005
1350,0.011939
1351,0.011887
1352,0.011898
1353,0.011937
1354,0.01199
1355,0.01193
1356,0.011922
1357,0.011902
1358,0.012051
1359,0.011966
1360,0.011899
1361,0.012056
1362,0.012055
1363,0.011883
1364,0.012034
1365,0.012145
1366,0.011966
1367,0.012005
1368,0.012027
1369,0.011997
1370,0.011951
1371,0.013374
1372,0.013649
1373,0.011993
1374,0.011948
1375,0.011875
1376,0.012045
1377,0.011989
1378,0.012022
1379,0.011912
1380,0.011953
1381,0.012101
1382,0.011873
1383,0.012045
1384,0.013822
1385,0.011961
1386,0.011897
1387,0.011973
1388,0.011826
1389,0.011871
1390,0.021025
1391,0.012016
1392,0.011938
1393,0.01195
1394,0.011932
1395,0.012001
1396,0.011931
1397,0.012068
1398,0.01189
1399,0.011997
1400,0.011917
1401,0.012032
1402,0.01193
1403,0.01205
1404,0.011898
1405,0.012506
1406,0.011948
1407,0.011946
1408,0.011959
1409,0.011976
1410,0.01195
1411,0.011924
1412,0.01198
1413,0.013694
1414,0.012036
1415,0.012054
1416,0.012053
1417,0.012136
1418,0.012092
1419,0.011977
1420,0.011869
1421,0.011968
1422,0.011997
1423,0.011999
1424,0.011961
1425,0.011998
1426,0.011994
1427,0.014578
1428,0.01197
1429,0.011971
1430,0.01194
1431,0.011919
1432,0.011937
1433,0.011904
1434,0.011919
1435,0.011974
1436,0.011877
1437,0.011931
1438,0.011996
1439,0.011959
1440,0.011982
1441,0.011992
1442,0.011988
1443,0.012218
1444,0.013531
1445,0.011945
1446,0.011916
1447,0.011958
1448,0.01192
1449,0.011897
1450,0.011952
1451,0.011998
1452,0.011931
1453,0.012
1454,0.011867
1455,0.011893
1456,0.011965
1457,0.012056
1458,0.011912
1459,0.012022
1460,0.011975
1461,0.012044
1462,0.012026
1463,0.011965
1464,0.011999
1465,0.012003
1466,0.012005
1467,0.011999
1468,0.017083
1469,0.011949
1470,0.012013
1471,0.012005
1472,0.011976
1473,0.011949
1474,0.011842
1475,0.012071
1476,0.011896
1477,0.012006
1478,0.012023
1479,0.012005
1480,0.01203
1481,0.01203
1482,0.012011
1483,0.012002
1484,0.012012
1485,0.023431
1486,0.013128
1487,0.012052
1488,0.011945
1489,0.012001
1490,0.013878
1491,0.011937
1492,0.012117
1493,0.013752
1494,0.011933
1495,0.01392
1496,0.011982
1497,0.012006
1498,0.011956
1499,0.011893
1500,0.011977
1501,0.012013
1502,0.011917
1503,0.012023
1504,0.012002
1505,0.012
1506,0.013727
1507,0.011938
1508,0.011939
1509,0.011967
1510,0.011939
1511,0.011965
1512,0.011896
1513,0.011962
1514,0.011949
1515,0.01189
1516,0.011933
1517,0.011931
1518,0.011894
1519,0.011992
1520,0.012023
1521,0.012016
1522,0.012063
1523,0.011981
1524,0.01196
1525,0.011992
1526,0.018077
1527,0.011948
1528,0.011884
1529,0.011912
1530,0.012429
1531,0.011872
1532,0.011964
1533,0.011955
1534,0.011903
1535,0.011963
1536,0.011956
1537,0.011989
1538,0.01201
1539,0.011853
1540,0.012034
1541,0.01206
1542,0.011938
1543,0.012047
1544,0.012003
1545,0.012175
1546,0.011946
1547,0.012018
1548,0.01198
1549,0.012019
1550,0.011999
1551,0.01198
1552,0.011904
1553,0.012003
1554,0.012087
1555,0.011908
1556,0.011979
1557,0.014215
1558,0.01198
1559,0.017043
1560,0.011896
1561,0.011917
1562,0.011945
1563,0.012007
1564,0.011949
1565,0.011923
1566,0.012021
1567,0.011958
1568,0.012023
1569,0.011929
1570,0.011963
1571,0.012097
1572,0.011907
1573,0.012009
1574,0.012074
1575,0.012038
1576,0.012521
1577,0.012083
1578,0.011972
1579,0.011995
1580,0.011951
1581,0.011985
1582,0.011855
1583,0.011895
1584,0.011955
1585,0.011947
1586,0.011987
1587,0.012023
1588,0.012019
1589,0.011944
1590,0.011866
1591,0.012027
1592,0.011958
1593,0.012073
1594,0.012011
1595,0.011904
1596,0.012021
1597,0.01208
1598,0.013769
1599,0.012096
1600,0.012011
1601,0.011919
1602,0.012019
1603,0.012004
1604,0.01364
1605,0.011984
1606,0.014123
1607,0.01206
1608,0.012073
1609,0.011938
1610,0.012061
1611,0.012069
1612,0.012033
1613,0.012014
1614,0.012047
1615,0.011966
1616,0.013186
1617,0.011929
1618,0.011971
1619,0.012041
1620,0.011933
1621,0.011972
1622,0.011887
1623,0.011965
1624,0.012021
1625,0.011908
1626,0.012013
1627,0.01198
1628,0.013585
1629,0.013335
1630,0.011929
1631,0.012094
1632,0.012016
1633,0.011996
1634,0.011883
1635,0.011915
1636,0.011948
1637,0.011925
1638,0.011932
1639,0.011991
1640,0.011885
1641,0.012194
1642,0.011932
1643,0.012007
1644,0.011965
1645,0.01198
1646,0.011989
1647,0.012053
1648,0.01211
1649,0.012041
1650,0.013988
1651,0.012086
1652,0.012039
1653,0.012059
1654,0.012014
1655,0.012049
1656,0.011909
1657,0.011964
1658,0.01206
1659,0.011873
1660,0.013686
1661,0.011947
1662,0.01183
1663,0.011926
1664,0.011798
1665,0.011823
1666,0.011813
1667,0.011889
1668,0.01194
1669,0.011855
1670,0.012138
1671,0.01198
1672,0.011907
1673,0.012121
1674,0.011975
1675,0.011902
1676,0.011941
1677,0.0119
1678,0.011958
1679,0.01192
1680,0.011887
1681,0.011919
1682,0.01186
1683,0.011963
1684,0.011954
1685,0.011902
1686,0.011976
1687,0.011923
1688,0.011922
1689,0.011909
1690,0.011944
1691,0.011882
1692,0.011926
1693,0.011952
1694,0.011876
1695,0.011899
1696,0.011976
1697,0.012071
1698,0.011939
1699,0.012074
1700,0.012061
1701,0.01196
1702,0.011867
1703,0.012072
1704,0.012049
1705,0.011867
1706,0.011889
1707,0.011907
1708,0.014065
1709,0.014717
1710,0.011994
1711,0.012001
1712,0.012008
1713,0.011983
1714,0.011981
1715,0.012112
1716,0.011837
1717,0.013266
1718,0.011956
1719,0.011884
1720,0.011909
1721,0.012005
1722,0.011931
1723,0.011889
1724,0.01194
1725,0.011967
1726,0.011929
1727,0.011981
1728,0.011957
1729,0.011907
1730,0.011959
1731,0.012066
1732,0.011992
1733,0.011994
1734,0.012071
1735,0.011936
1736,0.011932
1737,0.012083
1738,0.012015
1739,0.014686
1740,0.012126
1741,0.012017
1742,0.013458
1743,0.012014
1744,0.011921
1745,0.011985
1746,0.012041
1747,0.011924
1748,0.013665
1749,0.012017
1750,0.011923
1751,0.012063
1752,0.012006
1753,0.01192
1754,0.011987
1755,0.013081
1756,0.011926
1757,0.011977
1758,0.011978
1759,0.01194
1760,0.012005
1761,0.012041
1762,0.012014
1763,0.012011
1764,0.012015
1765,0.012011
1766,0.011881
1767,0.012074
1768,0.011959
1769,0.011884
1770,0.012105
1771,0.011976
1772,0.011965
1773,0.014012
1774,0.011983
1775,0.011895
1776,0.011999
1777,0.011865
1778,0.011885
1779,0.011949
1780,0.011947
1781,0.011935
1782,0.011941
1783,0.011938
1784,0.011904
1785,0.011871
1786,0.011945
1787,0.011924
1788,0.011884
1789,0.012014
1790,0.012032
1791,0.012046
1792,0.011985
1793,0.011988
1794,0.012037
1795,0.011863
1796,0.012072
1797,0.012052
1798,0.011908
1799,0.011939
1800,0.012064
1801,0.011962
1802,0.012085
1803,0.011977
1804,0.01208
1805,0.012042
1806,0.01266
1807,0.015454
1808,0.013842
1809,0.011969
1810,0.012007
1811,0.012002
1812,0.013645
1813,0.011973
1814,0.011983
1815,0.011921
1816,0.011984
1817,0.011971
1818,0.011907
1819,0.011968
1820,0.011933
1821,0.01191
1822,0.011926
1823,0.011983
1824,0.011942
1825,0.011884
1826,0.012014
1827,0.012002
1828,0.011921
1829,0.012049
1830,0.01201
1831,0.011873
1832,0.012039
1833,0.012056
1834,0.01201
1835,0.012097
1836,0.022577
1837,0.011918
1838,0.011962
1839,0.011956
1840,0.011981
1841,0.011934
1842,0.011987
1843,0.011975
1844,0.01193
1845,0.011969
1846,0.012
1847,0.011993
1848,0.012017
1849,0.011966
1850,0.011999
1851,0.012052
1852,0.011893
1853,0.012026
1854,0.011923
1855,0.012008
1856,0.012005
1857,0.011933
1858,0.01191
1859,0.011991
1860,0.017574
1861,0.012033
1862,0.011943
1863,0.012098
1864,0.012113
1865,0.011952
1866,0.012022
1867,0.013955
1868,0.012009
1869,0.012008
